"book_id","title","author","genre","publish_year","available_copies","isbn","shelf_location"
1,"The Silent River","Arun Desai","Fiction",2015,12,"9788123456781","A1"
2,"Wings of Hope","Nisha Verma","Motivational",2020,8,"9788123456782","B3"
3,"Hidden Truths","Ravi Malhotra","Thriller",2018,5,"9788123456783","C2"
4,"The Last Voyage","Anita Mehra","Adventure",2016,10,"9788123456784","A4"
5,"Mind Over Matter","Rahul Sen","Psychology",2019,7,"9788123456785","B1"
6,"Love Beyond Words","Pooja Iyer","Romance",2021,9,"9788123456786","C4"
7,"Footprints in Sand","Manish Tiwari","Drama",2017,11,"9788123456787","D2"
8,"Echoes of Time","Rohit Sharma","History",2013,6,"9788123456788","A2"
9,"The Bright Horizon","Kiran Patel","Inspirational",2022,14,"9788123456789","B4"
10,"Beyond the Stars","Priya Khanna","Sci-Fi",2019,10,"9788123456790","C3"
11,"Crimson Skies","Amit Roy","Action",2014,4,"9788123456791","A5"
12,"The Forgotten Path","Sonal Jain","Mystery",2015,6,"9788123456792","B2"
13,"Whispers of the Wind","Deepak Rao","Poetry",2012,9,"9788123456793","C1"
14,"Shadows of Destiny","Nidhi Kapoor","Fantasy",2020,13,"9788123456794","D3"
15,"Journey to Freedom","Harsh Gupta","Biography",2018,7,"9788123456795","E1"
16,"Ocean of Dreams","Rina Das","Fiction",2016,8,"9788123456796","A3"
17,"The Broken Compass","Ajay Singh","Adventure",2017,5,"9788123456797","B5"
18,"In Search of Light","Meena Nair","Spiritual",2021,10,"9788123456798","C5"
19,"Coded Lies","Rajat Joshi","Tech Thriller",2023,11,"9788123456799","D1"
20,"Lost in the Woods","Shruti Menon","Nature",2014,6,"9788123456800","E2"
21,"The Silent City","Aman Trivedi","Fiction",2018,9,"9788123456801","A6"
22,"Beneath the Surface","Rekha Pillai","Thriller",2019,4,"9788123456802","B6"
23,"Desert Mirage","Vikram Anand","Adventure",2022,12,"9788123456803","C6"
24,"Storm over Delhi","Suresh Kumar","Drama",2017,10,"9788123456804","D4"
25,"The Blue Horizon","Anjali Sharma","Romance",2015,8,"9788123456805","E3"
26,"Voices Unheard","Tanuja Bhatt","Poetry",2021,5,"9788123456806","A7"
27,"Tides of Time","Neha Chatterjee","Fantasy",2019,7,"9788123456807","B7"
28,"Under the Banyan Tree","Sahil Reddy","Folklore",2018,9,"9788123456808","C7"
29,"The Vanished Kingdom","Arjun Rao","History",2020,11,"9788123456809","D5"
30,"Life Unfolded","Kavita Bansal","Motivational",2016,10,"9788123456810","E4"
31,"Threads of Fate","Sanjay Kapoor","Fiction",2013,5,"9788123456811","A8"
32,"Melody of Rain","Rashi Sinha","Poetry",2022,8,"9788123456812","B8"
33,"The Secret Keeper","Gaurav Nanda","Mystery",2021,6,"9788123456813","C8"
34,"Voices of Dawn","Leena Kurup","Spiritual",2017,7,"9788123456814","D6"
35,"The Eternal Flame","Deepa Reddy","Philosophy",2018,9,"9788123456815","E5"
36,"Whispering Leaves","Nikhil Ghosh","Nature",2023,10,"9788123456816","A9"
37,"Canvas of Life","Payal Deshmukh","Art",2020,11,"9788123456817","B9"
38,"The Iron Gate","Yash Mehta","Thriller",2015,6,"9788123456818","C9"
39,"River of Stars","Monica Jain","Fiction",2016,12,"9788123456819","D7"
40,"Mirror of Souls","Kabir Singh","Psychology",2019,8,"9788123456820","E6"
41,"Dreamcatcher","Ankita Bhatia","Fantasy",2014,5,"9788123456821","A10"
42,"Dancing Shadows","Rajeev Joshi","Drama",2013,9,"9788123456822","B10"
43,"Journey Within","Maya Sen","Spiritual",2021,10,"9788123456823","C10"
44,"The Lost Melody","Prashant Nair","Music",2015,8,"9788123456824","D8"
45,"The Fireflies","Sneha Gopal","Children",2019,7,"9788123456825","E7"
46,"Waves of Silence","Rohini Rao","Poetry",2022,12,"9788123456826","A11"
47,"Parallel Lines","Siddharth Jain","Sci-Fi",2020,11,"9788123456827","B11"
48,"Labyrinth","Mehul Shah","Mystery",2018,9,"9788123456828","C11"
49,"The Sapphire Sea","Ananya Desai","Adventure",2017,6,"9788123456829","D9"
50,"The Final Chapter","Tanvi Chauhan","Fiction",2023,8,"9788123456830","E8"
51,"The Silent River","Arun Desai","Fiction",2015,12,"9788123456781","A1"
52,"Wings of Hope","Nisha Verma","Motivational",2020,8,"9788123456782","B3"
53,"Hidden Truths","Ravi Malhotra","Thriller",2018,5,"9788123456783","C2"
54,"The Last Voyage","Anita Mehra","Adventure",2016,10,"9788123456784","A4"
55,"Mind Over Matter","Rahul Sen","Psychology",2019,7,"9788123456785","B1"
56,"Love Beyond Words","Pooja Iyer","Romance",2021,9,"9788123456786","C4"
57,"Footprints in Sand","Manish Tiwari","Drama",2017,11,"9788123456787","D2"
58,"Echoes of Time","Rohit Sharma","History",2013,6,"9788123456788","A2"
59,"The Bright Horizon","Kiran Patel","Inspirational",2022,14,"9788123456789","B4"
60,"Beyond the Stars","Priya Khanna","Sci-Fi",2019,10,"9788123456790","C3"
61,"Crimson Skies","Amit Roy","Action",2014,4,"9788123456791","A5"
62,"The Forgotten Path","Sonal Jain","Mystery",2015,6,"9788123456792","B2"
63,"Whispers of the Wind","Deepak Rao","Poetry",2012,9,"9788123456793","C1"
64,"Shadows of Destiny","Nidhi Kapoor","Fantasy",2020,13,"9788123456794","D3"
65,"Journey to Freedom","Harsh Gupta","Biography",2018,7,"9788123456795","E1"
66,"Ocean of Dreams","Rina Das","Fiction",2016,8,"9788123456796","A3"
67,"The Broken Compass","Ajay Singh","Adventure",2017,5,"9788123456797","B5"
68,"In Search of Light","Meena Nair","Spiritual",2021,10,"9788123456798","C5"
69,"Coded Lies","Rajat Joshi","Tech Thriller",2023,11,"9788123456799","D1"
70,"Lost in the Woods","Shruti Menon","Nature",2014,6,"9788123456800","E2"
71,"The Silent City","Aman Trivedi","Fiction",2018,9,"9788123456801","A6"
72,"Beneath the Surface","Rekha Pillai","Thriller",2019,4,"9788123456802","B6"
73,"Desert Mirage","Vikram Anand","Adventure",2022,12,"9788123456803","C6"
74,"Storm over Delhi","Suresh Kumar","Drama",2017,10,"9788123456804","D4"
75,"The Blue Horizon","Anjali Sharma","Romance",2015,8,"9788123456805","E3"
76,"Voices Unheard","Tanuja Bhatt","Poetry",2021,5,"9788123456806","A7"
77,"Tides of Time","Neha Chatterjee","Fantasy",2019,7,"9788123456807","B7"
78,"Under the Banyan Tree","Sahil Reddy","Folklore",2018,9,"9788123456808","C7"
79,"The Vanished Kingdom","Arjun Rao","History",2020,11,"9788123456809","D5"
80,"Life Unfolded","Kavita Bansal","Motivational",2016,10,"9788123456810","E4"
81,"Threads of Fate","Sanjay Kapoor","Fiction",2013,5,"9788123456811","A8"
82,"Melody of Rain","Rashi Sinha","Poetry",2022,8,"9788123456812","B8"
83,"The Secret Keeper","Gaurav Nanda","Mystery",2021,6,"9788123456813","C8"
84,"Voices of Dawn","Leena Kurup","Spiritual",2017,7,"9788123456814","D6"
85,"The Eternal Flame","Deepa Reddy","Philosophy",2018,9,"9788123456815","E5"
86,"Whispering Leaves","Nikhil Ghosh","Nature",2023,10,"9788123456816","A9"
87,"Canvas of Life","Payal Deshmukh","Art",2020,11,"9788123456817","B9"
88,"The Iron Gate","Yash Mehta","Thriller",2015,6,"9788123456818","C9"
89,"River of Stars","Monica Jain","Fiction",2016,12,"9788123456819","D7"
90,"Mirror of Souls","Kabir Singh","Psychology",2019,8,"9788123456820","E6"
91,"Dreamcatcher","Ankita Bhatia","Fantasy",2014,5,"9788123456821","A10"
92,"Dancing Shadows","Rajeev Joshi","Drama",2013,9,"9788123456822","B10"
93,"Journey Within","Maya Sen","Spiritual",2021,10,"9788123456823","C10"
94,"The Lost Melody","Prashant Nair","Music",2015,8,"9788123456824","D8"
95,"The Fireflies","Sneha Gopal","Children",2019,7,"9788123456825","E7"
96,"Waves of Silence","Rohini Rao","Poetry",2022,12,"9788123456826","A11"
97,"Parallel Lines","Siddharth Jain","Sci-Fi",2020,11,"9788123456827","B11"
98,"Labyrinth","Mehul Shah","Mystery",2018,9,"9788123456828","C11"
99,"The Sapphire Sea","Ananya Desai","Adventure",2017,6,"9788123456829","D9"
100,"The Final Chapter","Tanvi Chauhan","Fiction",2023,8,"9788123456830","E8"
